sweep,wandb_group,wandb_run_id,wandb_name,state,batch_size,eta,base_lr,expected_array_task_id,schedule_end_value,loss_key,final_eval_loss,final_step
constant,937689,fliycw61,astral-water-970,finished,1,4.0,4.0,0,1,eval/ema_0.04,2.5993540287017822,2929688
constant,937689,36shdqzp,breezy-salad-971,finished,1,0.5,0.5,3,1,eval/ema_0.04,2.6091692447662354,2929688
constant,937689,enl4zskf,jolly-butterfly-972,finished,4,4.0,2.0,6,1,eval/ema_0.04,2.5885655879974365,732422
constant,937689,p44tygh6,morning-serenity-975,finished,4,2.0,1.0,7,1,eval/ema_0.04,2.595576524734497,732422
constant,937689,qf7ebj20,atomic-firefly-972,finished,4,8.0,4.0,5,1,eval/ema_0.04,2.593395233154297,732422
constant,937689,y1i4irgx,pretty-moon-974,finished,1,0.25,0.25,4,1,eval/ema_0.04,2.6239798069000244,2929688
constant,937689,9ywn9y0z,apricot-bee-976,finished,1,2.0,2.0,1,1,eval/ema_0.04,2.5923614501953125,2929688
constant,937689,ewqbbnau,treasured-pine-978,finished,4,0.5,0.25,9,1,eval/ema_0.04,2.631134510040283,732422
constant,937689,vut0rs5f,sage-monkey-976,finished,1,1.0,1.0,2,1,eval/ema_0.04,2.5966238975524902,2929688
constant,937689,wtzjz5k2,noble-gorge-979,finished,4,1.0,0.5,8,1,eval/ema_0.04,2.611712694168091,732422
constant,937689,tltgu171,rich-field-980,finished,16,16.0,4.0,10,1,eval/ema_0.04,2.6011316776275635,183106
constant,937689,fg5fulpb,pleasant-silence-981,finished,16,8.0,2.0,11,1,eval/ema_0.04,2.587071418762207,183106
constant,937689,jjdnis7v,whole-monkey-982,finished,16,4.0,1.0,12,1,eval/ema_0.04,2.5880298614501953,183106
constant,937689,1jq3qhc4,frosty-galaxy-984,finished,16,1.0,0.25,14,1,eval/ema_0.04,2.6275970935821533,183106
constant,937689,s4z213ua,smart-smoke-983,finished,16,2.0,0.5,13,1,eval/ema_0.04,2.6014535427093506,183106
constant,937689,63mihnlw,good-sun-985,finished,64,32.0,4.0,15,1,eval/ema_0.04,2.6198129653930664,45777
constant,937689,nutz83dd,dazzling-vortex-1053,finished,64,16.0,2.0,16,1,eval/ema_0.04,2.5917410850524902,45777
constant,937689,2ssjq6u4,worthy-galaxy-1054,finished,64,4.0,0.5,18,1,eval/ema_0.04,2.5975680351257324,45777
constant,937689,6nv6dlo7,volcanic-fog-1054,finished,64,8.0,1.0,17,1,eval/ema_0.04,2.602317571640014,45777
constant,937689,175un99l,logical-frost-1056,finished,64,2.0,0.25,19,1,eval/ema_0.04,2.6206703186035156,45777
constant,937689,2utii853,graceful-feather-1063,finished,256,32.0,4.0,20,1,eval/ema_0.04,2.6529910564422607,11445
constant,937689,9be2g4lb,flowing-oath-1064,finished,256,16.0,2.0,21,1,eval/ema_0.04,2.611093521118164,11445
constant,937689,ss3s80zx,toasty-pyramid-1065,finished,256,8.0,1.0,22,1,eval/ema_0.04,2.6113126277923584,11445
constant,937689,enxm3xrl,logical-meadow-1066,finished,1024,32.0,4.0,25,1,eval/ema_0.04,2.86881160736084,2862
constant,937689,p7t06fir,sweet-wave-1066,finished,256,2.0,0.25,24,1,eval/ema_0.04,2.655261754989624,11445
constant,937689,xzyvvir9,peach-resonance-1068,finished,256,4.0,0.5,23,1,eval/ema_0.04,2.6252925395965576,11445
constant,937689,d5omzcsy,dashing-haze-1069,finished,1024,16.0,2.0,26,1,eval/ema_0.04,2.7023565769195557,2862
constant,937689,5y4icvmt,apricot-monkey-1074,finished,1024,8.0,1.0,27,1,eval/ema_0.04,2.701633930206299,2862
constant,937689,tpnp6u3l,revived-energy-1076,finished,1024,4.0,0.5,28,1,eval/ema_0.04,2.724684715270996,2862
constant,937689,z3nzqz6y,icy-deluge-1077,finished,1024,2.0,0.25,29,1,eval/ema_0.04,2.762484550476074,2862
constant,937689,lz1nqa45,peachy-wood-1080,finished,4096,32.0,4.0,30,1,eval/ema_0.04,3.5672481060028076,716
constant,937689,tbmpvooa,apricot-plant-1085,finished,4096,16.0,2.0,31,1,eval/ema_0.04,3.365924596786499,716
constant,937689,36v7i8j0,solar-cloud-1086,finished,4096,8.0,1.0,32,1,eval/ema_0.04,3.128588914871216,716
constant,937689,l0txzd1f,light-silence-1087,finished,4096,4.0,0.5,33,1,eval/ema_0.04,3.054998874664306,716
constant,937689,5liyrkab,fanciful-firefly-1088,finished,4096,2.0,0.25,34,1,eval/ema_0.04,3.1090736389160156,716
cosine,943479,3lnlaq66,laced-frog-1037,finished,1,4.0,4.0,0,0.1,eval/ema_0.04,2.578488349914551,2929688
cosine,943479,2lxvpa89,legendary-rain-1038,finished,1,1.0,1.0,2,0.1,eval/ema_0.04,2.5922443866729736,2929688
cosine,943479,9rk4rlgj,breezy-grass-1039,finished,1,0.25,0.25,4,0.1,eval/ema_0.04,2.6284427642822266,2929688
cosine,943479,gnx2pdi3,wise-wind-1040,finished,1,0.5,0.5,3,0.1,eval/ema_0.04,2.6099507808685303,2929688
cosine,943479,v1nnbc4z,olive-serenity-1041,finished,1,2.0,2.0,1,0.1,eval/ema_0.04,2.58423113822937,2929688
cosine,943479,80m072a8,vital-dew-1042,finished,4,8.0,4.0,5,0.1,eval/ema_0.04,2.581714153289795,732422
cosine,943479,m43ojn3k,playful-wave-1043,finished,4,4.0,2.0,6,0.1,eval/ema_0.04,2.576253652572632,732422
cosine,943479,ngqqo3vf,exalted-valley-1043,finished,4,2.0,1.0,7,0.1,eval/ema_0.04,2.591331243515014,732422
cosine,943479,csgmh2b1,dazzling-pond-1045,finished,4,1.0,0.5,8,0.1,eval/ema_0.04,2.611907720565796,732422
cosine,943479,2sbaof8v,dauntless-wave-1046,finished,4,0.5,0.25,9,0.1,eval/ema_0.04,2.635617971420288,732422
cosine,943479,xahw69p6,hopeful-wildflower-1047,finished,16,16.0,4.0,10,0.1,eval/ema_0.04,2.5816917419433594,183106
cosine,943479,8ycrep45,brisk-bee-1048,finished,16,2.0,0.5,13,0.1,eval/ema_0.04,2.599483013153076,183106
